,random_state,n_clusters,n_init,model,Inertia,Distortion,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score
0,42,2,5000,KMeans,1298.667908241518,2.9987312786843803,0.23468467495589476,1.615912785997454,41.776016473730394
1,42,3,5000,KMeans,1038.2777648744932,2.658825519383936,0.2412170043884383,1.461109507352795,42.10153163674771
2,42,4,5000,KMeans,932.2569412799326,2.533821566079799,0.24540406091770334,1.5390640419967327,35.86962172983361
3,42,5,5000,KMeans,849.0360180660375,2.395915272112623,0.1992917469191709,1.5028328273745009,32.42042250351546
4,42,6,5000,KMeans,779.5750738810767,2.2976481251075827,0.19685253426934712,1.5105038917714901,30.270218903634035
5,42,7,5000,KMeans,727.8638987647375,2.2278043374447125,0.20625693081048926,1.4781134217713972,28.282991931144732
6,42,8,5000,KMeans,678.7085610940635,2.150065905358641,0.19702344220556334,1.4357096975719488,27.073294741033468
7,42,9,5000,KMeans,629.7416691194319,2.065085217356127,0.21910882403473642,1.35246055929528,26.520750739969383
8,42,10,5000,KMeans,584.7944827000828,1.9760735300087653,0.21472015393990593,1.3165085025082093,26.22138150775651
9,42,11,5000,KMeans,547.311529356378,1.9304009554030501,0.22420703847722065,1.2487855559286167,25.837443094643703
10,42,12,5000,KMeans,516.1929063340033,1.8483608316335352,0.22021783949594356,1.2876131552035985,25.356421015412764
11,42,13,5000,KMeans,488.7117380145702,1.818271685044411,0.22139775760228916,1.2161977725110384,24.903450544212898
12,42,14,5000,KMeans,463.98788832759624,1.7738122574408202,0.22774173683751725,1.1894424751747839,24.4929187052457
13,42,15,5000,KMeans,441.31166832245566,1.7352045517513919,0.2292712059698476,1.2040091768072723,24.138841664115315
